CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;OFER;OFER;OFER;OFER;OFER;OFER;OFER;ATEND %;ATEND %;ATEND %;ATEND %;ATEND %;TMA;TMA;TMA;TMA;TMA;TMA;TMA;SLA;SLA;SLA;SLA;SLA;SLA;SLA;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;PAUSAS;PAUSAS;PAUSAS;PAUSAS;PAUSAS
CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA
33;LOGO;SINISTROS;CALLBACK SIN;24;5;0;7;0;7;0;70%;7;0%;9;-;443;9;-;7;0;7;0;0%;9;-;0;0%;0;0%;2;6;21;7;0;7;0;0;0;0;0;0
16;LOGO;CLIENTES;GES AUTO ALT;4270;5;3215;7;0;7;0;100%;7;0%;9;-;591;5;519;7;0;7;0;75%;1;70%;7;0%;7;0%;13;6;116;7;0;7;0;12;7;12;7;0
50;LOGO;COMERCIAL;SONAE COM;6;5;0;7;0;7;0;100%;7;0%;9;-;216;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;1;6;21;7;0;7;0;0;0;0;0;0
46;TRANQUILIDADE;CLIENTES;SERVICING II - CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
29;TRANQUILIDADE;CLIENTES;CALLBACK LINHA CLIENTES;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;1;9;-;7;0;7;0;0;0;0;0;0
3;TRANQUILIDADE;SINISTROS;SINISTROS AT;9546;2;12878;7;0;7;0;100%;7;0%;9;-;577;2;610;7;0;7;0;48%;6;70%;7;0%;7;0%;21;6;367;7;0;7;0;0;0;0;0;0
23;TRANQUILIDADE;SINISTROS;ACN AUTOMÓVEL;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
9;TRANQUILIDADE;CLIENTES;SERVICING II;1275;2;6884;7;0;7;0;99%;7;0%;9;-;479;5;407;7;0;7;0;6%;6;70%;7;0%;7;0%;11;6;158;7;0;7;0;0;0;0;0;0
30;LOGO;COMERCIAL;CALLBACK PARC COM;10;5;0;7;0;7;0;80%;7;0%;9;-;233;9;-;7;0;7;0;0%;9;-;0;0%;0;0%;1;6;21;7;0;7;0;0;0;0;0;0
51;LOGO;CLIENTES;SONAE GES;36;5;0;7;0;7;0;100%;7;0%;9;-;394;9;-;7;0;7;0;0%;9;-;0;0%;0;0%;2;6;21;7;0;7;0;0;0;0;0;0
19;LOGO;CLIENTES;GES OUTRO ESCLAR;1101;5;0;7;0;7;0;100%;7;0%;9;-;482;9;-;7;0;7;0;194%;9;-;7;0%;7;0%;6;6;21;7;0;7;0;0;0;0;0;0
55;TRANQUILIDADE;AGENTES;ASSISTIDOS SINISTROS;3522;2;4409;7;0;7;0;100%;7;0%;9;-;573;2;591;7;0;7;0;18%;6;70%;7;0%;7;0%;12;6;147;7;0;7;0;0;0;0;0;0
4;TRANQUILIDADE;SINISTROS;SINISTROS AT - CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
12;TRANQUILIDADE;AGENTES;RRA;1180;2;1682;7;0;7;0;100%;7;0%;9;-;482;5;477;7;0;7;0;7%;6;70%;7;0%;7;0%;7;6;77;7;0;7;0;0;0;0;0;0
24;TRANQUILIDADE;SINISTROS;ACN CLIENTES;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
31;LOGO;CLIENTES;CALLBACK PARC GES;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
44;TRANQUILIDADE;SINISTROS;PE CLÍNICOS;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
22;LOGO;SINISTROS;SIN QIV;628;5;0;7;0;7;0;100%;7;0%;9;-;665;9;-;7;0;7;0;331%;9;-;7;0%;7;0%;3;6;21;7;0;7;0;0;0;0;0;0
48;LOGO;SINISTROS;SIN SUPORTE;121;5;0;7;0;7;0;100%;7;0%;9;-;242;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;3;6;21;7;0;7;0;0;0;0;0;0
42;LOGO;COMERCIAL;PARC NOVO;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
28;LOGO;CLIENTES;CALLBACK GES;5;5;0;7;0;7;0;60%;7;0%;9;-;287;9;-;7;0;7;0;0%;9;-;0;0%;0;0%;2;6;21;7;0;7;0;0;0;0;0;0
58;TRANQUILIDADE;SINISTROS;PRESTADORES;49;5;0;7;0;7;0;100%;7;0%;9;-;319;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;2;6;21;7;0;7;0;0;0;0;0;0
